longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
99.36868,25.88965,中国,云南省,大理白族自治州,云龙县,诺邓镇
99.95628,26.86852,中国,云南省,丽江市,玉龙纳西族自治县,石鼓镇
99.15919,24.70261,中国,云南省,保山市,施甸县,甸阳镇
96.06667,39.8,中国,甘肃省,酒泉市,肃北蒙古族自治县,石包城乡
98.91139,28.48563,中国,云南省,迪庆藏族自治州,德钦县,升平镇
99.82838,23.05191,中国,云南省,普洱市,澜沧拉祜族自治县,上允镇
96.58426,32.85399,中国,青海省,玉树藏族自治州,玉树市,上拉秀乡
99.66667,33.83333,中国,青海省,果洛藏族自治州,甘德县,上贡麻乡
99.58333,32.9,中国,青海省,果洛藏族自治州,达日县,上红科乡
98.95158,26.91948,中国,云南省,怒江傈僳族自治州,福贡县,上帕镇
77.24056,38.41667,中国,新疆维吾尔自治区,喀什地区,莎车县,城北街道
92.11667,32.21667,中国,西藏自治区,那曲市,安多县,滩堆乡
77.81786,39.30174,中国,新疆维吾尔自治区,喀什地区,巴楚县,色力布亚镇
98.37463,36.94895,中国,青海省,海西蒙古族藏族自治州,乌兰县,柯柯镇
99.62898,36.98238,中国,青海省,海南藏族自治州,共和县,石乃亥镇
99.2,33.65,中国,青海省,果洛藏族自治州,达日县,建设乡
89.55545,28.40407,中国,西藏自治区,日喀则市,康马县,萨马达乡
88.05,28.91667,中国,西藏自治区,日喀则市,萨迦县,萨迦镇
94.49558,31.25887,中国,西藏自治区,昌都市,边坝县,沙丁乡
79.63919,33.41844,中国,西藏自治区,阿里地区,日土县,日土镇
88.16465,39.02003,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,若羌镇
98.40855,25.53171,中国,云南省,保山市,腾冲市,滇滩镇
94.63278,31.55707,中国,西藏自治区,那曲市,索县,荣布镇
89.10471,30.07346,中国,西藏自治区,日喀则市,南木林县,仁堆乡
89.80928,29.26733,中国,西藏自治区,日喀则市,仁布县,仁布乡
98.16877,36.22036,中国,青海省,海西蒙古族藏族自治州,都兰县,热水乡
95.13349,31.15956,中国,西藏自治区,昌都市,边坝县,热玉乡
90.12772,29.13178,中国,西藏自治区,日喀则市,仁布县,然巴乡
96.51667,31.4,中国,西藏自治区,昌都市,类乌齐县,类乌齐镇
87.65,29.1,中国,西藏自治区,日喀则市,拉孜县,曲下镇
98.6,25.21667,中国,云南省,保山市,腾冲市,曲石镇
98.09795,32.97771,中国,四川省,甘孜藏族自治州,石渠县,尼呷镇
80.80287,37.02847,中国,新疆维吾尔自治区,和田地区,策勒县,策勒乡
98,39.18333,中国,甘肃省,张掖市,肃南裕固族自治县,祁丰藏族乡
99.13333,39.38333,中国,甘肃省,酒泉市,肃州区,清水镇
97.13627,33.80385,中国,青海省,玉树藏族自治州,称多县,清水河镇
90.66613,31.16164,中国,西藏自治区,那曲市,班戈县,青龙乡
90.15696,38.386,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,依吞布拉克镇
95.65833,34.56839,中国,青海省,玉树藏族自治州,曲麻莱县,秋智乡
85.52977,38.13407,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县,且末镇
76.99028,38.37222,中国,新疆维吾尔自治区,喀什地区,莎车县,恰热克镇
89.9,29.26667,中国,西藏自治区,日喀则市,仁布县,切娃乡
97.17982,31.1304,中国,西藏自治区,昌都市,卡若区,马草坝街道
88.63333,30.93333,中国,西藏自治区,那曲市,申扎县,申扎镇
93.17429,31.70892,中国,西藏自治区,那曲市,比如县,恰则乡
98.01222,36.39719,中国,青海省,海西蒙古族藏族自治州,都兰县,察汗乌苏镇
94.41726,29.4697,中国,西藏自治区,林芝市,巴宜区,布久乡
90.00958,31.39625,中国,西藏自治区,那曲市,班戈县,普保镇
78.28087,37.6168,中国,新疆维吾尔自治区,和田地区,皮山县,固玛镇
97.93671,24.71022,中国,云南省,德宏傣族景颇族自治州,盈江县,平原镇
94.03543,31.19793,中国,西藏自治区,那曲市,比如县,白嘎乡
89.16667,27.75,中国,西藏自治区,日喀则市,亚东县,帕里镇
99.90097,33.96865,中国,青海省,果洛藏族自治州,甘德县,柯曲镇
91.68101,32.26986,中国,西藏自治区,那曲市,安多县,帕那镇
81.93333,36.83333,中国,新疆维吾尔自治区,和田地区,于田县,奥依托格拉克乡
75.42783,38.95303,中国,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,奥依塔克镇
99.8,33.61667,中国,青海省,果洛藏族自治州,达日县,窝赛乡
92.25355,31.75928,中国,西藏自治区,那曲市,聂荣县,尼玛乡
92.7324,31.54353,中国,西藏自治区,那曲市,色尼区,尼玛乡
89.85041,28.52517,中国,西藏自治区,日喀则市,康马县,涅如堆乡
96.84065,32.04136,中国,青海省,玉树藏族自治州,囊谦县,娘拉乡
81.05972,36.32472,中国,新疆维吾尔自治区,和田地区,策勒县,奴尔乡
89.25,29.16667,中国,西藏自治区,日喀则市,白朗县,洛江镇
96.40821,36.37056,中国,青海省,海西蒙古族藏族自治州,都兰县,宗加镇
87.16667,29.23333,中国,西藏自治区,日喀则市,昂仁县,桑桑镇
81.13972,32.39545,中国,西藏自治区,阿里地区,革吉县,革吉镇
99.78333,39.31667,中国,甘肃省,张掖市,高台县,南华镇
93.08795,29.04701,中国,西藏自治区,林芝市,朗县,朗镇
99.66273,35.21665,中国,青海省,海南藏族自治州,兴海县,温泉乡
95.61479,32.78552,中国,青海省,玉树藏族自治州,杂多县,昂赛乡
89.09556,29.68527,中国,西藏自治区,日喀则市,南木林县,南木林镇
